chemin,class,classe_LOC,classe_CLOC,classe_DC,WMC,classe_BC
C:\Users\marca\IdeaProjects\TP1\jfreechart-master\src\main\java\org\jfree\chart\annotations\AbstractAnnotation.java,AbstractAnnotation,200,132,0.66,43,0.015348838,
C:\Users\marca\IdeaProjects\TP1\jfreechart-master\src\main\java\org\jfree\chart\annotations\AbstractXYAnnotation.java,AbstractXYAnnotation,188,109,0.57978725,24,0.024157802,
C:\Users\marca\IdeaProjects\TP1\jfreechart-master\src\main\java\org\jfree\chart\annotations\Annotation.java,Annotation,59,52,0.88135594,4,0.22033899,
C:\Users\marca\IdeaProjects\TP1\jfreechart-master\src\main\java\org\jfree\chart\annotations\CategoryAnnotation.java,CategoryAnnotation,60,50,0.8333333,1,0.8333333,
C:\Users\marca\IdeaProjects\TP1\jfreechart-master\src\main\java\org\jfree\chart\annotations\CategoryLineAnnotation.java,CategoryLineAnnotation,385,190,0.4935065,50,0.00987013,
C:\Users\marca\IdeaProjects\TP1\jfreechart-master\src\main\java\org\jfree\chart\annotations\CategoryPointerAnnotation.java,CategoryPointerAnnotation,482,245,0.50829875,60,0.008471646,
C:\Users\marca\IdeaProjects\TP1\jfreechart-master\src\main\java\org\jfree\chart\annotations\CategoryTextAnnotation.java,CategoryTextAnnotation,246,123,0.5,29,0.01724138,
C:\Users\marca\IdeaProjects\TP1\jfreechart-master\src\main\java\org\jfree\chart\annotations\TextAnnotation.java,TextAnnotation,314,177,0.56369424,43,0.013109168,
C:\Users\marca\IdeaProjects\TP1\jfreechart-master\src\main\java\org\jfree\chart\annotations\XYAnnotation.java,XYAnnotation,64,53,0.828125,1,0.828125,
C:\Users\marca\IdeaProjects\TP1\jfreechart-master\src\main\java\org\jfree\chart\annotations\XYAnnotationBoundsInfo.java,XYAnnotationBoundsInfo,66,59,0.8939394,3,0.2979798,
C:\Users\marca\IdeaProjects\TP1\jfreechart-master\src\main\java\org\jfree\chart\annotations\XYBoxAnnotation.java,XYBoxAnnotation,279,128,0.45878136,29,0.015820047,
C:\Users\marca\IdeaProjects\TP1\jfreechart-master\src\main\java\org\jfree\chart\annotations\XYDataImageAnnotation.java,XYDataImageAnnotation,347,188,0.54178673,45,0.012039705,
C:\Users\marca\IdeaProjects\TP1\jfreechart-master\src\main\java\org\jfree\chart\annotations\XYDrawableAnnotation.java,XYDrawableAnnotation,228,106,0.4649123,21,0.022138681,
C:\Users\marca\IdeaProjects\TP1\jfreechart-master\src\main\java\org\jfree\chart\annotations\XYImageAnnotation.java,XYImageAnnotation,284,150,0.52816904,35,0.015090544,
C:\Users\marca\IdeaProjects\TP1\jfreechart-master\src\main\java\org\jfree\chart\annotations\XYLineAnnotation.java,XYLineAnnotation,276,117,0.42391303,30,0.014130434,
