chemin,class,methode,methode_LOC,methode_CLOC,methode_DC,CC,methode_BC
C:\Users\marca\IdeaProjects\TP1\jfreechart-master\src\main\java\org\jfree\chart\annotations\AbstractAnnotation.java,AbstractAnnotation,addChangeListener_AnnotationChangeListener,11,8,0.72727275,3,0.24242425,
C:\Users\marca\IdeaProjects\TP1\jfreechart-master\src\main\java\org\jfree\chart\annotations\AbstractAnnotation.java,AbstractAnnotation,removeChangeListener_AnnotationChangeListener,11,8,0.72727275,3,0.24242425,
C:\Users\marca\IdeaProjects\TP1\jfreechart-master\src\main\java\org\jfree\chart\annotations\AbstractAnnotation.java,AbstractAnnotation,hasListener_EventListener,16,12,0.75,3,0.25,
C:\Users\marca\IdeaProjects\TP1\jfreechart-master\src\main\java\org\jfree\chart\annotations\AbstractAnnotation.java,AbstractAnnotation,fireAnnotationChanged_,10,5,0.5,5,0.1,
C:\Users\marca\IdeaProjects\TP1\jfreechart-master\src\main\java\org\jfree\chart\annotations\AbstractAnnotation.java,AbstractAnnotation,notifyListeners_AnnotationChangeEvent,17,9,0.5294118,6,0.0882353,
C:\Users\marca\IdeaProjects\TP1\jfreechart-master\src\main\java\org\jfree\chart\annotations\AbstractAnnotation.java,AbstractAnnotation,getNotify_,11,8,0.72727275,6,0.121212125,
C:\Users\marca\IdeaProjects\TP1\jfreechart-master\src\main\java\org\jfree\chart\annotations\AbstractAnnotation.java,AbstractAnnotation,setNotify_boolean,14,8,0.5714286,7,0.08163266,
C:\Users\marca\IdeaProjects\TP1\jfreechart-master\src\main\java\org\jfree\chart\annotations\AbstractAnnotation.java,AbstractAnnotation,clone_,15,10,0.6666667,3,0.22222222,
C:\Users\marca\IdeaProjects\TP1\jfreechart-master\src\main\java\org\jfree\chart\annotations\AbstractAnnotation.java,AbstractAnnotation,writeObject_ObjectOutputStream,10,7,0.7,3,0.23333333,
C:\Users\marca\IdeaProjects\TP1\jfreechart-master\src\main\java\org\jfree\chart\annotations\AbstractAnnotation.java,AbstractAnnotation,readObject_ObjectInputStream,12,8,0.6666667,4,0.16666667,
C:\Users\marca\IdeaProjects\TP1\jfreechart-master\src\main\java\org\jfree\chart\annotations\AbstractXYAnnotation.java,AbstractXYAnnotation,getToolTipText_,12,9,0.75,2,0.375,
C:\Users\marca\IdeaProjects\TP1\jfreechart-master\src\main\java\org\jfree\chart\annotations\AbstractXYAnnotation.java,AbstractXYAnnotation,setToolTipText_String,10,7,0.7,2,0.35,
C:\Users\marca\IdeaProjects\TP1\jfreechart-master\src\main\java\org\jfree\chart\annotations\AbstractXYAnnotation.java,AbstractXYAnnotation,getURL_,11,8,0.72727275,2,0.36363637,
C:\Users\marca\IdeaProjects\TP1\jfreechart-master\src\main\java\org\jfree\chart\annotations\AbstractXYAnnotation.java,AbstractXYAnnotation,setURL_String,10,7,0.7,2,0.35,
C:\Users\marca\IdeaProjects\TP1\jfreechart-master\src\main\java\org\jfree\chart\annotations\AbstractXYAnnotation.java,AbstractXYAnnotation,draw_Graphics2D_XYPlot_Rectangle2D_ValueAxis_ValueAxis_int_PlotRenderingInfo,13,12,0.9230769,2,0.46153846,
C:\Users\marca\IdeaProjects\TP1\jfreechart-master\src\main\java\org\jfree\chart\annotations\AbstractXYAnnotation.java,AbstractXYAnnotation,addEntity_PlotRenderingInfo_Shape_int_String_String,21,10,0.47619048,4,0.11904762,
C:\Users\marca\IdeaProjects\TP1\jfreechart-master\src\main\java\org\jfree\chart\annotations\AbstractXYAnnotation.java,AbstractXYAnnotation,equals_Object,23,7,0.3043478,6,0.050724637,
C:\Users\marca\IdeaProjects\TP1\jfreechart-master\src\main\java\org\jfree\chart\annotations\AbstractXYAnnotation.java,AbstractXYAnnotation,hashCode_,15,5,0.33333334,4,0.083333336,
C:\Users\marca\IdeaProjects\TP1\jfreechart-master\src\main\java\org\jfree\chart\annotations\Annotation.java,Annotation,addChangeListener_AnnotationChangeListener,6,5,0.8333333,2,0.41666666,
C:\Users\marca\IdeaProjects\TP1\jfreechart-master\src\main\java\org\jfree\chart\annotations\Annotation.java,Annotation,removeChangeListener_AnnotationChangeListener,6,5,0.8333333,2,0.41666666,
